Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-27,32287.5234375,34656.12890625,32071.7578125,34649.64453125,35511640894,0,0
2021-06-28,34679.12109375,35219.890625,33902.07421875,34434.3359375,33892523752,0,0
2021-06-29,34475.55859375,36542.109375,34252.484375,35867.77734375,37901460044,0,0
2021-06-30,35908.38671875,36074.7578125,34086.15234375,35040.8359375,34059036099,0,0
2021-07-01,35035.984375,35035.984375,32883.78125,33572.1171875,37838957079,0,0
2021-07-02,33549.6015625,33939.58984375,32770.6796875,33897.046875,38728974942,0,0
2021-07-03,33854.421875,34909.26171875,33402.6953125,34668.546875,24383958643,0,0
2021-07-04,34665.56640625,35937.56640625,34396.4765625,35287.78125,24924307911,0,0
2021-07-05,35284.34375,35284.34375,33213.66015625,33746.00390625,26721554282,0,0
2021-07-06,33723.5078125,35038.53515625,33599.91796875,34235.1953125,26501259870,0,0
2021-07-07,34225.6796875,34997.6640625,33839.2890625,33855.328125,24796027477,0,0
2021-07-08,33889.60546875,33907.90625,32133.18359375,32877.37109375,29910396946,0,0
2021-07-09,32861.671875,34042.29296875,32318.880859375,33798.01171875,27436021028,0,0
2021-07-10,33811.2421875,34209.0703125,33116.01171875,33520.51953125,22971873468,0,0
2021-07-11,33509.078125,34584.703125,33346.73828125,34240.1875,20108729370,0,0
2021-07-12,34254.015625,34592.15625,32697.30859375,33155.84765625,24321499537,0,0
2021-07-13,33125.46875,33327.1015625,32261.419921875,32702.025390625,19120856669,0,0
2021-07-14,32723.845703125,33061.3984375,31639.125,32822.34765625,21376531210,0,0
2021-07-15,32827.875,33159.640625,31175.708984375,31780.73046875,21300524237,0,0
2021-07-16,31841.55078125,32218.40625,31100.673828125,31421.5390625,23699476918,0,0
2021-07-17,31397.30859375,31935.9453125,31223.990234375,31533.068359375,18895018942,0,0
2021-07-18,31533.884765625,32398.99609375,31215.4921875,31796.810546875,18787986667,0,0
2021-07-19,31800.01171875,31885.859375,30563.734375,30817.83203125,20434789545,0,0
2021-07-20,30838.28515625,31006.1875,29360.955078125,29807.34765625,23148267245,0,0
2021-07-21,29796.28515625,32752.326171875,29526.18359375,32110.693359375,28203024559,0,0
2021-07-22,32138.873046875,32576.400390625,31745.298828125,32313.10546875,19555230518,0,0
2021-07-23,32305.958984375,33581.55078125,32057.892578125,33581.55078125,22552046192,0,0
2021-07-24,33593.73046875,34490.390625,33424.859375,34292.4453125,21664706865,0,0
2021-07-25,34290.29296875,35364.92578125,33881.8359375,35350.1875,20856685287,0,0
2021-07-26,35287.3125,40368.62890625,35287.3125,38713.45703125,46351110144,0,0
